time,Weekly_Sales,Walmart,sp500,Temperature,Fuel_Price,CPI,Unemployment
2010-02-05,49750740.5,53.45,1066.19,34.037333333333336,2.7178444444444443,167.73088493999998,8.619311111111111
2010-02-12,48336677.63,52.89999,1075.51,34.15133333333333,2.6940222222222223,167.82560787333335,8.619311111111111
2010-02-19,48276993.78,53.49001,1109.17,37.71977777777778,2.6720666666666664,167.87168610444445,8.619311111111111
2010-02-26,43968571.13,54.07001,1104.49,39.24355555555556,2.6839333333333335,167.9096568711111,8.619311111111111
2010-03-05,46871470.3,54.14,1138.69,42.91733333333333,2.7312,167.9476276622222,8.619311111111111
2010-03-12,45925396.51,53.89999,1149.99,47.43244444444444,2.7744222222222223,167.98559845111112,8.619311111111111
2010-03-19,44988974.64,55.34,1159.9,49.95422222222222,2.817088888888889,167.93042676888888,8.619311111111111
2010-03-26,44133961.05,55.50999,1166.59,48.473555555555556,2.8241111111111112,167.85973130444444,8.619311111111111
2010-04-09,47365290.44,55.07001,1194.37,58.42066666666666,2.8530888888888892,167.71834042444445,8.49771111111111
2010-04-16,45183667.08,54.11,1192.13,58.021111111111104,2.889,167.66304076,8.49771111111111
2010-04-23,44734452.56,54.53,1217.28,57.08955555555555,2.8817333333333335,167.6282687911111,8.49771111111111
2010-04-30,43705126.71,53.64,1186.68,57.85466666666667,2.8915333333333333,167.59349682666667,8.49771111111111
2010-05-07,48503243.52,52.39999,1110.88,64.12511111111111,2.9318666666666666,167.5587248688889,8.49771111111111
2010-05-14,45330080.2,52.12,1135.68,60.60955555555555,2.947,167.54648468444444,8.49771111111111
2010-05-21,45120108.06,51.37,1087.69,66.26266666666668,2.9241111111111113,167.66943518,8.49771111111111
2010-05-28,47757502.56,50.56,1089.41,70.46022222222223,2.8664222222222224,167.79238567333334,8.49771111111111
2010-06-04,50188543.12,50.39999,1064.88,73.41088888888889,2.8088,167.91533618222223,8.49771111111111
2010-06-11,47826546.72,50.86,1091.6,74.53777777777778,2.7887333333333335,168.03828667777776,8.49771111111111
2010-06-18,47622046.23,51.55,1117.51,73.56933333333333,2.7632222222222222,168.04938532222224,8.49771111111111
2010-06-25,46609036.29,48.8,1076.76,78.78822222222222,2.7912666666666666,168.0157432,8.49771111111111
2010-07-02,48917484.5,48.0,1022.58,77.13333333333334,2.793511111111111,167.9821010888889,8.428577777777777
2010-07-09,47899529.37,49.42999,1077.96,78.91244444444445,2.7837555555555555,167.9484589666667,8.428577777777777
2010-07-16,46243899.58,49.67,1064.88,80.40844444444444,2.762488888888889,167.95822487555554,8.428577777777777
2010-07-23,44888849.11,51.67,1102.66,81.13111111111111,2.7635555555555555,168.02586811555554,8.428577777777777
2010-07-30,44630363.42,51.19,1101.6,79.15222222222222,2.7666666666666666,168.09351138666668,8.428577777777777
2010-08-06,48204999.12,51.78999,1121.64,79.99555555555555,2.777222222222222,168.16115464666666,8.428577777777777
2010-08-13,46464418.410000004,50.39999,1079.25,79.48244444444444,2.807377777777778,168.22879791111112,8.428577777777777
2010-08-20,47060952.92,50.22,1071.69,79.46355555555556,2.7842000000000002,168.22879644222223,8.428577777777777
2010-08-27,45909740.44,51.0,1064.59,76.73733333333332,2.7632,168.22879495333333,8.428577777777777
2010-09-03,47194257.61,52.03999,1104.51,76.44222222222223,2.742711111111111,168.22879348222222,8.428577777777777
2010-09-10,45634397.839999996,51.97,1109.55,72.44977777777777,2.7213555555555553,168.22879198666666,8.428577777777777
2010-09-17,43080726.51,53.00999,1125.59,71.23377777777777,2.7353111111111112,168.2567725111111,8.428577777777777
2010-09-24,41358514.41,54.08,1148.67,71.07955555555556,2.738688888888889,168.30573945111112,8.428577777777777
2010-10-01,42239875.87,53.36,1146.24,69.868,2.7343333333333333,168.35470644222224,8.47528888888889
2010-10-08,45102974.23,54.41,1165.15,61.734,2.7588666666666666,168.40367343777777,8.47528888888889
2010-10-15,43149473.45,53.35001,1176.19,60.890888888888895,2.8356444444444446,168.45302036444443,8.47528888888889
2010-10-22,43066669.519999996,54.06,1183.08,59.13088888888888,2.850977777777778,168.50331730666667,8.47528888888889
2010-10-29,43602830.95,54.17,1183.26,59.18577777777778,2.8565777777777774,168.55361422444446,8.47528888888889
2010-11-05,45781981.89,55.2,1225.85,52.68288888888889,2.842911111111111,168.60391111777778,8.47528888888889
2010-11-12,46124800.83,54.13,1199.21,50.39977777777777,2.872911111111111,168.65420804888888,8.47528888888889
2010-11-19,45125584.18,54.39,1199.73,48.14244444444444,2.911311111111111,168.6061089977778,8.47528888888889
